Detected_State,total,Detected_District,Detected_City,Hospitalized,Recovered,Deceased
Andaman and Nicobar Islands,4.0,,,4.0,0.0,0.0
Andaman and Nicobar Islands,1.0,North and Middle Andaman,North and Middle Andaman,1.0,0.0,0.0
Andaman and Nicobar Islands,5.0,South Andaman,South Andaman,5.0,0.0,0.0
Andhra Pradesh,2.0,Anantapur,Lepakshi,2.0,0.0,0.0
Andhra Pradesh,1.0,Chittoor,Srikalahasti,1.0,0.0,0.0
Andhra Pradesh,1.0,East Godavari,East Godavari,1.0,0.0,0.0
Andhra Pradesh,1.0,East Godavari,Kakinada,1.0,0.0,0.0
Andhra Pradesh,2.0,East Godavari,Rajahmundry,2.0,0.0,0.0
Andhra Pradesh,5.0,Guntur,Guntur,5.0,0.0,0.0
Andhra Pradesh,1.0,Guntur,Guntur,1.0,0.0,0.0
Andhra Pradesh,1.0,Guntur,Karampudi,1.0,0.0,0.0
Andhra Pradesh,2.0,Guntur,Macherla,2.0,0.0,0.0
Andhra Pradesh,1.0,Krishna,Krishna,1.0,0.0,0.0
Andhra Pradesh,4.0,Krishna,Vijayawada,4.0,0.0,0.0
Andhra Pradesh,1.0,Kurnool,Kurnool,1.0,0.0,0.0
Andhra Pradesh,1.0,Prakasam,Prakasam,1.0,0.0,0.0
Andhra Pradesh,7.0,Prakasam,Chirala,7.0,0.0,0.0
Andhra Pradesh,1.0,Prakasam,Kandukuru,1.0,0.0,0.0
Andhra Pradesh,1.0,Prakasam,Kunkala Marru,1.0,0.0,0.0
Andhra Pradesh,1.0,Prakasam,Ongole,1.0,0.0,0.0
Andhra Pradesh,1.0,S.P.S. Nellore,Nellore,1.0,0.0,0.0
Andhra Pradesh,3.0,Visakhapatnam,Visakhapatnam,3.0,0.0,0.0
Andhra Pradesh,1.0,Visakhapatnam,Visakapatnam,0.0,1.0,0.0
Andhra Pradesh,2.0,Visakhapatnam,Visakhapatnam,2.0,0.0,0.0
Bihar,1.0,,,1.0,0.0,0.0
Bihar,4.0,Bhagalpur,Bhagalpur,4.0,0.0,0.0
Bihar,1.0,Gopalganj,Gopalganj,1.0,0.0,0.0
Bihar,1.0,Lakhisarai,Lakhisarai,1.0,0.0,0.0
Bihar,2.0,Munger,Munger,2.0,0.0,0.0
Bihar,1.0,Munger,Munger,0.0,0.0,1.0
Bihar,1.0,Nalanda,Nalanda,1.0,0.0,0.0
Bihar,3.0,Patna,Patna,3.0,0.0,0.0
Bihar,1.0,Patna,Patna,1.0,0.0,0.0
