sno,Date,Actual ,M1,M2,M3,M4,M5,M6,Equal Weighted Average -Prediction,Weighted AveragePrediction -Based on AbsError=Avg(0.05*M1+0.05*M2+0.04*M3+0.03*M4+0.03*M5+0.8*M6)
13,18/06/20,380532,,,387177,380000,370312,,,
14,19/06/20,395048,,,400237,393120,383828,,,
15,20/06/20,410451,,,413377,406509,397416,,,
16,21/06/20,425282,,433208,426608,420167,412201,,,
17,22/06/20,440215,437044,448394,439935,434092,426875,,,
18,23/06/20,456183,451281,460230,453362,448283,441954,,,
19,24/06/20,472985,465759,475070,466891,462739,457920,,,
20,25/06/20,491170,480474,488383,480522,477459,471973,488563,,
21,26/06/20,509445,495421,501449,494257,492442,488191,505405,496194,503357
22,27/06/20,529587,510595,514351,508096,507685,504845,522668,511373,520081
23,28/06/20,549197,525990,527709,522040,523188,521939,540346,526869,537197
24,29/06/20,567536,541602,552394,536089,538947,539481,558510,544504,555304
25,30/06/20,585792,557424,599098,550242,554961,557474,577271,566078,575026
26,01/07/20,605221,573449,"604,989",564500,571228,575924,596650,581123,593236
27,02/07/20,618394,613162,620178,615578,587744,611975,627811,612741,624530
28,03/07/20,,631965,635299,633367,604509,634894,649968,631667,645854
29,04/07/20,,651092,650490,651401,621518,658728,672758,650998,667749
30,05/07/20,,670540,665799,669675,638769,683510,696155,670741,690196
31,06/07/20,,690307,680913,688192,656259,709272,720259,690867,713262
32,07/07/20,,710386,695857,706953,673985,,745123,,
33,08/07/20,,730775,710668,725961,691944,,770718,,
34,09/07/20,,751467,725426,745218,710132,,797020,,
35,10/07/20,,772458,740194,764213,728545,,824056,,
36,11/07/20,,793743,,712862,747181,,851777,,
37,12/07/20,,815316,,784481,766035,,880119,,
38,13/07/20,,837170,,804492,785103,,909174,,
39,14/07/20,,859299,,824758,804383,,939083,,
40,15/07/20,,881697,,845282,823869,,969904,,
41,16/07/20,,904357,,866062,843557,,1001524,,
42,17/07/20,,927271,,887105,863444,,1033949,,
43,18/07/20,,950432,,908408,883525,,1067188,,
44,19/07/20,,973832,,929976,903795,,1101253,,
45,20/07/20,,997464,,951806,924250,,1136158,,
46,21/07/20,,1021318,,973904,944887,,,,
47,22/07/20,,1045387,,996270,965699,,,,
48,23/07/20,,,,1018903,986683,,,,
49,24/07/20,,,,1041807,1007833,,,,
50,25/07/20,,,,1064982,1029146,,,,
51,26/07/20,,,,1088430,1050616,,,,
52,27/07/20,,,,,1072238,,,,
53,28/07/20,,,,,,,,,
54,29/07/20,,,,,,,,,
55,30/07/20,,,,,,,,,
56,31/07/20,,,,,,,,,
