travel_history_new,pid
Delhi,821
Dubai,197
UK,42
Iran,34
Italy,33
London,22
US,15
Saudi Arabia',13
Spain,11
Saudi Arabia,10
Germany,10
France,10
Mecca,6
Rajasthan,6
Philippines,6
Qatar,5
Switzerland,4
Mumbai,4
Thailand,4
USA,4
Kerala,3
Dubai Emirates EK,3
Kasargod,3
Japan,3
Netherlands,3
Wuhan,3
Paris,3
Turkey,3
Scotland,3
Saudi,2
United Kingdom,2
Sweden,2
Sri Lanka,2
Singapore,2
Sri Lanka',2
Phuket,2
Canada,2
Denmark,1
Austria,1
Australia,1
Finland,1
Egypt,1
Edenburg,1
China,1
Bahamas,1
Brazil,1
Congo,1
Dublin,1
Birmingham,1
Greece,1
Dubai Emirates,1
California,1
Mozambique,1
Guyana,1
New York',1
United Kingdom',1
Trinidad,1
Tanda,1
Stockholm,1
Russia,1
Oman,1
New Zealand',1
New Zealand,1
New York,1
Indonesia,1
Nayagaon,1
Washington,1
Mexico,1
Malaysia,1
Lisbon,1
Italian,1
Istanbul,1
Ireland,1
Abu Dhabi,1
